iter	Passed	Remaining
0	12	12424
1	23	11759
2	34	11506
3	45	11366
4	57	11440
5	67	11228
6	78	11079
7	89	11083
8	100	11012
9	110	10947
10	121	10910
11	132	10901
12	143	10892
13	153	10830
14	164	10811
15	175	10819
16	186	10799
17	197	10753
18	208	10783
19	219	10765
20	230	10752
21	242	10779
22	254	10799
23	265	10793
24	277	10821
25	289	10835
26	301	10849
27	312	10831
28	323	10822
29	334	10806
30	344	10771
31	354	10734
32	365	10717
33	377	10711
34	388	10700
35	399	10687
36	410	10672
37	421	10659
38	431	10630
39	442	10610
40	453	10614
41	464	10600
42	475	10575
43	486	10560
44	497	10547
45	507	10530
46	518	10514
47	529	10511
48	540	10496
49	551	10484
50	562	10462
51	573	10461
52	587	10491
53	600	10517
54	613	10537
55	629	10614
56	648	10720
57	664	10788
58	680	10855
59	697	10932
60	720	11094
61	733	11090
62	746	11100
63	758	11096
64	769	11075
65	780	11052
66	791	11025
67	803	11006
68	815	10998
69	826	10986
70	838	10967
71	848	10939
72	859	10916
73	870	10887
74	881	10873
75	892	10853
76	903	10831
77	914	10809
78	925	10791
79	937	10780
80	949	10777
81	963	10783
82	976	10783
83	989	10787
84	1002	10788
85	1015	10791
86	1027	10780
87	1041	10792
88	1056	10810
89	1067	10789
90	1077	10763
91	1087	10736
92	1098	10714
93	1108	10688
94	1120	10672
95	1130	10647
96	1141	10628
97	1153	10617
98	1165	10606
99	1177	10597
100	1188	10574
101	1198	10553
102	1209	10534
103	1220	10513
104	1231	10498
105	1242	10481
106	1253	10463
107	1264	10446
108	1275	10427
109	1287	10413
110	1298	10400
111	1309	10385
112	1320	10366
113	1331	10350
114	1342	10328
115	1353	10314
116	1364	10295
117	1375	10279
118	1387	10274
119	1399	10260
120	1410	10245
121	1421	10232
122	1432	10217
123	1443	10199
124	1455	10188
125	1466	10173
126	1478	10164
127	1489	10146
128	1500	10132
129	1512	10120
130	1524	10109
131	1534	10093
132	1546	10079
133	1557	10063
134	1567	10045
135	1578	10030
136	1589	10015
137	1601	10003
138	1612	9987
139	1623	9971
140	1634	9956
141	1645	9942
142	1656	9925
143	1667	9909
144	1677	9892
145	1688	9875
146	1699	9859
147	1710	9845
148	1721	9831
149	1732	9816
150	1743	9804
151	1755	9791
152	1766	9777
153	1776	9760
154	1787	9742
155	1797	9724
156	1808	9709
157	1819	9696
158	1830	9684
159	1841	9668
160	1852	9651
161	1862	9634
162	1872	9617
163	1883	9601
164	1895	9594
165	1906	9580
166	1917	9566
167	1928	9549
168	1939	9536
169	1950	9522
170	1962	9513
171	1972	9496
172	1983	9480
173	1993	9464
174	2004	9448
175	2015	9436
176	2026	9422
177	2037	9409
178	2048	9395
179	2059	9379
180	2069	9364
181	2080	9349
182	2091	9336
183	2102	9323
184	2113	9311
185	2124	9299
186	2135	9285
187	2147	9273
188	2157	9258
189	2169	9250
190	2180	9237
191	2192	9228
192	2205	9221
193	2216	9209
194	2226	9193
195	2237	9180
196	2249	9167
197	2260	9154
198	2270	9140
199	2281	9125
200	2291	9110
201	2303	9098
202	2313	9083
203	2324	9069
204	2334	9054
205	2345	9040
206	2356	9027
207	2367	9014
208	2378	9001
209	2388	8986
210	2399	8974
211	2411	8961
212	2421	8948
213	2432	8935
214	2443	8923
215	2454	8910
216	2466	8899
217	2477	8886
218	2489	8877
219	2501	8867
220	2512	8855
221	2522	8840
222	2532	8825
223	2543	8810
224	2553	8795
225	2564	8784
226	2576	8772
227	2587	8759
228	2598	8749
229	2610	8738
230	2620	8724
231	2631	8710
232	2641	8696
233	2652	8684
234	2663	8671
235	2674	8658
236	2685	8646
237	2696	8632
238	2706	8618
239	2717	8605
240	2727	8591
241	2738	8578
242	2749	8566
243	2760	8553
244	2770	8539
245	2781	8526
246	2792	8512
247	2803	8501
248	2814	8489
249	2825	8477
250	2836	8464
251	2847	8451
252	2858	8439
253	2869	8427
254	2879	8413
255	2891	8402
256	2902	8390
257	2912	8377
258	2923	8363
259	2934	8352
260	2946	8342
261	2957	8331
262	2968	8317
263	2979	8305
264	2990	8293
265	3001	8282
266	3012	8270
267	3023	8258
268	3034	8246
269	3045	8233
270	3056	8221
271	3066	8207
272	3077	8194
273	3087	8181
274	3098	8169
275	3109	8155
276	3120	8144
277	3130	8131
278	3141	8119
279	3152	8107
280	3163	8095
281	3174	8083
282	3184	8069
283	3195	8055
284	3206	8044
285	3216	8030
286	3227	8018
287	3238	8006
288	3249	7994
289	3259	7980
290	3270	7967
291	3281	7955
292	3291	7943
293	3302	7931
294	3313	7917
295	3323	7905
296	3335	7895
297	3346	7883
298	3357	7872
299	3368	7860
300	3379	7847
301	3390	7836
302	3401	7823
303	3412	7811
304	3422	7799
305	3433	7786
306	3444	7775
307	3455	7763
308	3466	7752
309	3477	7739
310	3487	7726
311	3498	7714
312	3509	7702
313	3520	7690
314	3530	7677
