iter	Passed	Remaining
0	9	9689
1	19	9903
2	29	9814
3	39	9812
4	49	9825
5	59	9816
6	72	10283
7	82	10263
8	92	10235
9	102	10194
10	113	10164
11	122	10120
12	132	10066
13	142	10026
14	152	10008
15	161	9959
16	171	9902
17	180	9852
18	190	9827
19	199	9789
20	209	9777
21	220	9789
22	231	9837
23	244	9925
24	253	9897
25	264	9912
26	274	9900
27	285	9894
28	295	9884
29	305	9873
30	315	9867
31	325	9850
32	336	9845
33	346	9835
34	356	9820
35	366	9803
36	376	9796
37	386	9778
38	396	9775
39	406	9766
40	417	9756
41	427	9753
42	437	9747
43	447	9733
44	457	9714
45	467	9693
46	477	9682
47	487	9676
48	497	9657
49	508	9657
50	519	9660
51	529	9662
52	540	9655
53	550	9642
54	560	9622
55	569	9597
56	578	9577
57	589	9572
58	598	9552
59	608	9540
60	619	9531
61	628	9508
62	638	9493
63	647	9471
64	657	9462
65	667	9445
66	677	9428
67	687	9424
68	698	9419
69	708	9414
70	719	9414
71	730	9413
72	740	9403
73	750	9392
74	760	9373
75	770	9362
76	780	9357
77	790	9349
78	800	9332
79	810	9317
80	821	9317
81	830	9300
82	840	9288
83	851	9282
84	861	9273
85	871	9261
86	881	9251
87	891	9242
88	902	9236
89	912	9229
90	922	9219
91	933	9209
92	942	9194
93	952	9179
94	963	9175
95	976	9199
96	988	9205
97	1001	9217
98	1013	9220
99	1023	9208
100	1033	9195
101	1042	9181
102	1053	9171
103	1064	9171
104	1074	9156
105	1084	9144
106	1095	9139
107	1105	9133
108	1115	9119
109	1125	9109
110	1135	9093
111	1145	9083
112	1155	9070
113	1165	9055
114	1175	9046
115	1185	9037
116	1196	9026
117	1205	9010
118	1215	8995
119	1224	8982
120	1234	8965
121	1243	8952
122	1254	8943
123	1266	8946
124	1276	8938
125	1287	8929
126	1297	8916
127	1307	8904
128	1317	8894
129	1331	8909
130	1341	8898
131	1351	8884
132	1361	8874
133	1371	8864
134	1381	8851
135	1392	8843
136	1402	8833
137	1412	8824
138	1423	8819
139	1433	8806
140	1443	8794
141	1454	8785
142	1463	8773
143	1473	8760
144	1484	8752
145	1493	8738
146	1504	8730
147	1515	8724
148	1525	8713
149	1536	8705
150	1546	8697
151	1557	8686
152	1567	8677
153	1577	8667
154	1587	8655
155	1598	8645
156	1607	8631
157	1617	8621
158	1627	8609
159	1637	8594
160	1647	8585
161	1656	8571
162	1667	8560
163	1676	8547
164	1687	8537
165	1696	8525
166	1707	8515
167	1717	8508
168	1728	8498
169	1738	8486
170	1748	8474
171	1757	8461
172	1768	8451
173	1778	8442
174	1788	8429
175	1798	8421
176	1808	8409
177	1818	8397
178	1828	8386
179	1838	8373
180	1847	8360
181	1857	8347
182	1866	8334
183	1877	8324
184	1887	8315
185	1897	8305
186	1907	8294
187	1917	8282
188	1927	8271
189	1937	8261
190	1947	8249
191	1957	8236
192	1967	8225
193	1978	8218
194	1988	8207
195	1998	8196
196	2008	8187
197	2018	8175
198	2028	8163
199	2038	8154
200	2048	8144
201	2058	8133
202	2068	8121
203	2078	8110
204	2089	8101
205	2098	8089
206	2108	8077
207	2118	8067
208	2128	8057
209	2139	8049
210	2149	8038
211	2159	8027
212	2169	8017
213	2180	8007
214	2191	7999
215	2200	7987
216	2210	7976
217	2220	7966
218	2230	7954
219	2240	7942
220	2250	7931
221	2262	7927
222	2271	7914
223	2280	7901
224	2290	7889
225	2300	7879
226	2310	7866
227	2319	7852
228	2328	7840
229	2338	7827
230	2346	7812
231	2356	7799
232	2365	7787
233	2374	7773
234	2384	7762
235	2394	7751
236	2403	7739
237	2413	7728
238	2423	7715
239	2433	7704
240	2442	7691
241	2451	7678
242	2460	7665
243	2469	7651
244	2479	7640
245	2488	7628
246	2497	7614
